full_name,a,e,G,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,neo,pha,moid
136067 (2002 XK88),2.644841530502879,0.3448970507323685,,28.17559392108002,348.6298290303739,77.22350651169192,1.732643486977952,3.557039574027805,4.30137875672039,13041.0,0,611,14.5,3.018,,0.307,,,,,,,,N,N,0.927588
       (2014 EP239),3.208125536166647,0.1850088926741819,,16.1241721894309,311.562426641978,220.8009125109616,2.61459378316069,3.801657289172605,5.74625948397358,3.0,8,12,18.172,,,,,,,,,,,N,N,1.64479
114427 (2003 AW2),2.669367706738902,0.1081369389298655,,32.89835616951342,131.3609694225418,312.7129677012948,2.380710454053923,2.958024959423882,4.3613486460868,6220.0,0,480,15.2,5.945,,0.05,,,,,,,,N,N,1.45
       (2012 VU25),1.805944963730464,0.09460952936172828,,26.89223301691717,38.03036175914445,55.96028797480336,1.635085360658741,1.976804566802186,2.42697313392298,1.0,9,15,20.2,,,,,,,,,,,N,N,0.696145
       (2007 RQ256),2.391236667689615,0.2053756039119631,,2.008389943085989,50.43036959950534,299.5706039116525,1.90013499296643,2.882338342412801,3.69778830626627,1539.0,4,17,18.457,,,,,,,,,,,N,N,0.8942
       (2014 OQ242),3.006742924010272,0.2125483052084848,,1.02903401536031,80.84966680191837,212.620117806162,2.367664811314285,3.64582103670626,5.21377936203156,6.0,9,14,18.138,,,,,,,,,,,N,N,1.35122
       (2007 YE23),3.192512303993904,0.3219427473706791,,26.9246881258727,103.3356933892166,282.4245257649612,2.16470612183141,4.220318486156398,5.70436191727611,4107.0,1,77,16.4,,,,,,,,,,,N,N,1.33586
106911 (2000 YH49),2.335088669076544,0.05952208076654183,,5.730541352465666,286.5157851917393,225.464709407831,2.196099332718733,2.474078005434355,3.56831566833919,7672.0,0,729,15.7,,,,,,,,,,,N,N,1.21203
368405 (2002 TO99),3.155600353358331,0.2345720755123616,,8.513545119504554,301.8429733705613,100.9052657205808,2.415384628983526,3.895816077733137,5.60571735256452,5374.0,0,144,16.0,,,,,,,,,,,N,N,1.4416
524208 (2001 RL97),2.252387344671552,0.1987778729963115,,3.838932284391371,343.3925326400845,20.01462218096336,1.804662579133931,2.700112110209173,3.38043679382453,6346.0,0,138,18.1,,,,,,,,,,,N,N,0.801826
       (2006 AG28),3.134046516552029,0.08835377153834728,,10.2714136421912,109.2742077361819,13.15397840697259,2.857141686638038,3.410951346466021,5.54838206795248,2210.0,5,15,16.659,,,,,,,,,,,N,N,1.87449
       (2017 BW82),2.611248224898135,0.1217057294033575,,12.9118090999383,346.0383263256571,193.7942172424242,2.293444355033685,2.929052094762585,4.21968895319342,5285.0,1,70,17.2,,,,,,,,,,,N,N,1.30021
125161 (2001 UC95),2.448255731144728,0.15970603298439,,1.972044405746063,329.661646822955,141.1852544382147,2.057254520592306,2.83925694169715,3.83083434151672,8452.0,0,388,16.5,1.518,,0.211,,,,,,,,N,N,1.07458
468804 (2012 HF52),2.55388599795711,0.3678304100026236,,17.26833407539888,195.3793896223746,124.6432047211395,1.614489064228587,3.493282931685634,4.08141224226068,4402.0,1,65,17.3,,,,,,,,,,,N,N,0.666815
276215 (2002 QG110),3.023065088778108,0.08674791163946706,,8.983863912381377,149.6914850528005,188.4539892340588,2.760820505576427,3.285309671979789,5.25629158656008,9487.0,0,163,16.0,,,,,,,,,,,N,N,1.75077
535727 (2015 BZ208),2.557725902087108,0.1552335729926082,,17.44343689997779,106.9241090472772,279.2601217227487,2.160680971570384,2.954770832603832,4.09062063367203,4375.0,0,50,16.5,,,,,,,,,,,N,N,1.24424
191352 (2003 QS66),3.087812779310372,0.1544171967188988,,4.322827795836091,345.0886008937603,347.4559389278813,2.611001385936472,3.564624172684271,5.42606063571193,6740.0,0,592,14.9,5.074,,0.069,,,,,,,,N,N,1.6
       (2016 CF196),2.269534769489926,0.04129241513031917,,1.505784867246,163.1084235316742,11.57638401246537,2.175820197635455,2.363249341344397,3.41911306971715,512.0,5,26,19.0,,,,,,,,,,,N,N,1.18001
480008 (2014 LM26),2.412268446084176,0.2105257150855083,,23.29857323729136,68.96721097607501,107.6945191791117,1.904423906494097,2.920112985674255,3.74668046829772,5501.0,0,130,16.9,,,,,,,,,,,N,N,1.01746
159699 (2002 PQ142),1.696185067307563,0.7164627573934899,,16.79268619905746,151.3076704458163,332.115270323173,0.4809316369347241,2.911438497680401,2.20911363147207,6203.0,0,225,17.6,,,,,,,,,,,Y,N,0.214299
452949 (2006 XM54),2.710958449899397,0.3113328479153986,,9.078467822804836,287.5787936123806,230.6455311558195,1.866948035111903,3.55496886468689,4.46367426131513,4268.0,0,110,17.0,,,,,,,,,,,N,N,0.892428
208372 (2001 SB33),3.073030728814864,0.1892004338395372,,4.659868402415349,184.1266481835944,265.7595924415142,2.491611981720863,3.654449475908866,5.38714365586174,6380.0,0,307,15.7,,,,,,,,,,,N,N,1.51348
248011 (2004 EP69),2.602580678461655,0.1710922738615002,,4.250516762972277,5.564354770153288,350.1807246172621,2.157299232275645,3.047862124647666,4.19869670375474,9184.0,0,542,15.9,1.927,,0.3,,,,,,,,N,N,1.15213
178584 (1999 XL166),2.402009415562428,0.2723607494335994,,9.104779223976522,275.6695690411894,143.6557956349022,1.747796330993283,3.056222500131573,3.72280475916439,8650.0,0,352,16.4,,,,,,,,,,,N,N,0.769835
251404 (2007 YO31),2.466029502688588,0.1589477204066963,,1.259119259305012,299.7895162380061,124.2590764705322,2.074059734780578,2.857999270596598,3.87262642285102,8415.0,0,349,16.8,,,,,,,,,,,N,N,1.08743
       (2014 CV14),2.171721018479337,0.2219201384618104,,21.73466223881935,312.2519512428213,136.4480340732577,1.689772389357979,2.653669647600696,3.20047363677982,8.0,9,20,17.965,1.627,,0.038,,,,,,,,N,N,0.750266
333405 (2002 TB366),2.27921936380968,0.1301490779570664,,6.313045876950515,156.2813184012274,167.7839759400682,1.982581065147959,2.575857662471402,3.44102153956667,6186.0,0,155,17.4,,,,,,,,,,,N,N,0.970222
327265 (2005 SG168),2.521525124399336,0.1299114407923249,,2.41988046963929,200.7908075760652,96.58504320367008,2.193950162494572,2.8491000863041,4.00408374368473,5375.0,0,129,17.5,,,,,,,,,,,N,N,1.17904
 62072 (2000 RD78),2.58612388439026,0.2123082455162561,,7.982519239241193,218.8364634098125,103.1671323945234,2.037068459807679,3.135179308972842,4.15893554908951,8241.0,0,818,14.9,,,,,,,,,,,N,N,1.04216
       (2011 SR),2.371800623476713,0.2285191367396485,,1.818746573122799,212.585535411657,152.126424853676,1.829798792481255,2.913802454472172,3.65279643759119,1589.0,2,102,18.8,,,,,,,,,,,N,N,0.827292
340130 (2005 XK41),2.378591758614532,0.1919659025418324,,2.98672185371936,350.935101498939,95.74363865212628,1.921983244893529,2.835200272335535,3.66849614436351,4546.0,0,56,18.3,,,,,,,,,,,N,N,0.941001
460447 (2014 ST208),2.748293954742882,0.07142137541725146,,7.112183346939801,131.5894559374935,251.6284678553293,2.552007020444227,2.944580889041536,4.55620206048059,6095.0,0,188,16.4,,,,,,,,,,,N,N,1.56439
161166 (2002 TD24),3.053284795146448,0.1855867353369428,,4.258435142850488,32.36481211620164,350.8622533061984,2.486635637961292,3.619933952331603,5.3353040573261,9083.0,0,434,15.4,,,,,,,,,,,N,N,1.48954
325793 (2010 RS60),2.691697719138883,0.2475281660254424,,12.72360924191415,193.2251724483064,241.4382960504244,2.025426719225569,3.357968719052197,4.41618880030967,5704.0,0,214,16.5,,,,,,,,,,,N,N,1.07277
330522 (2007 TO127),3.977027459331075,0.2209532101422993,,3.155453390262288,164.9804707872599,209.5278638624891,3.098290475367801,4.855764443294349,7.93133121667432,4257.0,0,146,15.3,,,,,,,,,,,N,N,2.099
       (2008 AN94),3.188275405666186,0.2147020069120925,,12.0000993063137,308.8389103409545,255.5056923589742,2.50374627748119,3.872804533851182,5.69300998880852,68.0,6,14,16.8,,,,,,,,,,,N,N,1.53468
 69140 (2003 FB100),2.992124481492854,0.05678897963614075,,10.68666324459312,36.65865381844406,96.99825582384658,2.822204785244558,3.16204417774115,5.17580241124952,7716.0,0,607,14.8,4.269,,0.097,,,,,,,,N,N,1.86146
       (2008 WP4),2.943567199493081,0.1098167020495487,,8.276522315353818,227.752978071196,144.4367109552826,2.620314357383525,3.266820041602637,5.050322764142,21.0,7,9,17.213,,,,,,,,,,,N,N,1.62588
       (2016 WH26),2.623114227849614,0.1121688717784091,,13.29955408780457,254.4372550292066,236.3378593684421,2.328882464365829,2.917345991333397,4.24848419424921,4832.0,2,47,16.9,,,,,,,,,,,N,N,1.37231
 88227 (2001 BU42),5.170618225006665,0.06394969945782132,,9.842451779410244,249.7625597335254,180.5281723473677,4.839958743506355,5.501277706506975,11.7576874464626,7593.0,0,514,12.1,19.177,,0.076,6.355,,,,,,,N,N,3.85414
482564 (2012 VE90),2.3834124064325,0.1818811290319151,,2.109268499917002,203.2389384255552,195.0943369867356,1.949914667001883,2.816910145863116,3.67965410268364,4018.0,0,91,18.1,,,,,,,,,,,N,N,0.956915
416663 (2004 TZ280),2.236747663783464,0.1679431807011213,,1.215783921231228,118.054540658845,275.1281347228802,1.861101146701867,2.612394180865061,3.34528937272213,5669.0,0,81,18.6,,,,,,,,,,,N,N,0.86704
106854 (2000 YB21),2.216324043641896,0.0951572449479442,,5.265076051354597,121.6750885180884,296.422597646628,2.005424753737046,2.427223333546745,3.299575643491,7853.0,0,741,15.9,,,,5.473,,,,,,,N,N,1.02399
432644 (2010 WN31),2.179302920131057,0.1832352340441934,,1.369269163666164,94.46348234369712,231.0259683494319,1.779977839507648,2.578628000754465,3.21724847311329,4268.0,0,70,18.2,,,,,,,,,,,N,N,0.76755
331622 (2002 CL36),2.759624985275508,0.09322371392996592,,8.82806025474135,319.5793881307667,195.1436098166264,2.502362495094198,3.016887475456818,4.58440845439775,6121.0,0,113,16.5,,,,,,,,,,,N,N,1.51448
       (2012 UD27),2.600053276076806,0.1356819422049105,,11.46590476748824,102.002233299326,15.52984651493342,2.247272997742464,2.952833554411147,4.19258206948968,4838.0,0,79,17.4,,,,,,,,,,,N,N,1.26601
432729 (2011 DL11),2.359702065342512,0.1564861893746609,,8.264599835342574,37.31011001289711,56.52128365185985,1.990441281077545,2.728962849607479,3.62488273117843,4063.0,0,187,17.1,,,,,,,,,,,N,N,1.02023
       (2009 ST107),2.562155639583511,0.03823130875171007,,15.83999868372411,18.69663292405982,176.4540071000752,2.464201076256659,2.660110202910364,4.10125208113329,3418.0,0,71,17.372,,,,,,,,,,,N,N,1.46275
       (2014 OP42),2.288895491501598,0.1146697443086568,,5.648797712993205,83.07187136063745,28.83713258801721,2.026428430741873,2.551362552261323,3.46295739021913,3584.0,2,29,18.1,,,,,,,,,,,N,N,1.04538
527383 (2007 TT458),2.242071567558225,0.1006631555471502,,5.216098600861469,89.87945464230863,359.3902602152646,2.016377568605269,2.467765566511182,3.35724015687247,6768.0,0,58,18.601,,,,,,,,,,,N,N,1.03287
234044 (1999 BU26),2.966799794023263,0.01592286461893789,,7.986975191530971,298.4936282228176,251.9013118890978,2.919559842551537,3.014039745494988,5.11023135728705,7312.0,0,152,15.5,,,,,,,,,,,N,N,1.93224
 73404 (2002 LL24),2.615095509864756,0.1329281931283959,,6.649621644128229,93.72774991447696,162.4977411780439,2.267475588880253,2.96271543084926,4.22901801121237,9074.0,0,675,15.2,2.009,,0.277,,,,,,,,N,N,1.25308
       (2015 FH34),1.966854521484816,0.2476650129655378,,9.422959351689835,252.7076112210161,26.66205302673495,1.479733470919952,2.453975572049679,2.75845916981514,61.0,4,24,19.2,,,,,,,,,,,N,N,0.469903
       (2015 BZ162),2.3477537,0.1928053,,5.5083,349.55419,265.46269,1.8950943,2.8004131,3.59738562655715,,0,46,18.3,,,,,,,,,,,N,,
 16219 Venturelli (2000 DL29),2.368304954309518,0.2066560223275207,,0.4227717990046447,73.478954233164,331.5501289653516,1.878880472793353,2.857729435825684,3.6447239239966,10096.0,0,462,16.5,,,,,,,,,,,N,N,0.887646
 38819 (2000 RX75),2.339783432036641,0.1355300946452483,,7.037772629769719,323.4396078534951,36.46605038745076,2.022672362043331,2.656894502029951,3.57908237749624,8266.0,0,1345,14.7,,,,,,,,,,,N,N,1.02224
       (2011 UD324),3.101249254675951,0.08519460437482476,,9.246342646152383,16.39151087317897,17.74605739453095,2.837039551356114,3.365458957995789,5.461516016685,34.0,5,20,16.726,,,,,,,,,,,N,N,1.84353
443223 (2014 DX103),2.57536450742665,0.158414764977116,,8.432768522530253,353.6199527336518,297.3706387850751,2.167388744252252,2.983340270601049,4.13300814801025,5767.0,0,74,17.2,,,,,,,,,,,N,N,1.16635
 29733 (1999 BA4),2.44693022632926,0.08670178393535406,,5.541880676999241,77.53707503761596,133.0720092750674,2.234777010541173,2.659083442117347,3.82772369709858,8495.0,0,1831,13.9,3.541,,0.466,849.186,,,,,,,N,N,1.23276
457582 (2008 YA173),2.350398524393213,0.0559148562169045,,2.272347938218116,189.3842511742806,313.81258934723,2.218976328849342,2.481820719937084,3.60346626767546,4044.0,0,71,18.1,,,,,,,,,,,N,N,1.23219
328035 (2007 LS4),3.059717419570336,0.0436435913332088,,19.26494377290459,77.79698411651613,87.7535269782935,2.926180362915508,3.193254476225164,5.352173468172,4574.0,0,102,15.7,4.606,,0.048,,,,,,,,N,N,2.0014
 18431 Stazzema (1994 BM),2.403947937623513,0.1157488113098291,,6.023513046708865,316.3614378274901,112.4614707210261,2.125693821392876,2.682202053854149,3.72731235703106,9203.0,0,1310,14.2,,,,,,,,,,,N,N,1.14843
       (2010 HD29),1.876136612149028,0.1109526036366715,,21.80717333286081,274.9585456775066,120.3705762512938,1.667974370253009,2.084298854045046,2.56983293195154,1.0,9,8,17.4,1.446,,0.093,,,,,,,,N,N,0.739725
       (2012 BR41),3.030488862491401,0.1028949144530722,,8.456680061303633,310.2316291757363,189.4442740647041,2.718666970234361,3.342310754748442,5.27566536685876,4086.0,0,55,16.6,,,,,,,,,,,N,N,1.73292
509554 (2008 BS37),2.251662732247203,0.1214382576536008,,6.320724867057043,119.080168123545,332.07141688,1.978224733219556,2.52510073127485,3.37880565154636,4171.0,0,63,17.9,,,,,,,,,,,N,N,0.997391
 20388 (1998 KZ54),3.034257165350361,0.1249069029973209,,10.58959617639071,177.9656340056121,111.5339836462086,2.655257499929017,3.413256830771704,5.28550857266629,8178.0,0,1546,13.3,7.762,,0.169,,,,,,,,N,N,1.66183
 38227 (1999 NJ50),2.650075710838707,0.1578718707532087,,12.66227301558327,294.9628800876334,2.811664652818379,2.231703300730961,3.068448120946453,4.3141538098684,7678.0,0,768,14.5,,,,,,,,,,,N,N,1.2152
